Method,Thr,Recall,Prec,F1,TP,FP,TN,FN,FPR
Normal,0.99,0.0,0.0,0.0,0,0,8455,200,0.0
Normal,0.95,0.0,0.0,0.0,0,0,8455,200,0.0
Normal,0.9,0.0,0.0,0.0,0,8,8447,200,0.0009461856889414548
Normal,0.5,0.115,0.02668213457076566,0.04331450094161958,23,839,7616,177,0.09923122412773507
GraphShadow,0.99,0.0,0.0,0.0,0,0,8455,200,0.0
GraphShadow,0.95,0.0,0.0,0.0,0,0,8455,200,0.0
GraphShadow,0.9,0.29,0.725,0.4142857142857143,58,22,8433,142,0.0026020106445890008
GraphShadow,0.5,0.925,0.252387448840382,0.3965702036441586,185,548,7907,15,0.06481371969248965
